accuracy,auc,balanced_acc,feature_set,positive_rate,rows,split,task
0.7443036637362962,0.7991764159854886,0.7346616664550364,all_noleak,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.7680196801939101,0.8225072672836881,0.7725205253632471,geometry,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.6924319335033238,0.7315249545031449,0.6671496165676125,lexical_shape,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.6017268926471846,0.7033142963663901,0.6544267185057315,sample0_delta,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.8074205466878623,0.8300383988378754,0.7706381653153836,stability,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.7358839069757038,0.818845056023022,0.7357319317102469,waveform_functional,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.7164910884638651,0.7868153117752661,0.6650916776460254,all_noleak,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.6587470333659081,0.6638567116627758,0.6523213253819662,geometry,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.5613542277444273,0.6386445981554678,0.4797430252178536,lexical_shape,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.6438639769184233,0.6764890129363813,0.6550814206134572,sample0_delta,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.6529121410954442,0.7114517312715253,0.644192150336315,stability,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.7321141979617478,0.77369450608295,0.7185179310265123,waveform_functional,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.6705031244007525,0.7239907333763179,0.6582322476824413,all_noleak,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
0.6982425914686013,0.7038886452511034,0.6787141059233629,geometry,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
0.5208692042521703,0.5478476877150913,0.49913115746167874,lexical_shape,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
0.6399727218754651,0.6160091154448485,0.6074662536100777,sample0_delta,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
0.7071336182203996,0.7172650291292856,0.6874756738954572,stability,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
0.6042203993382916,0.6981724341588975,0.6015607242830902,waveform_functional,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
0.7246376811594203,0.7478777589134126,0.7292020373514432,stability,0.4492753623188406,69,fold_0,stable_correct_vs_hallucination
0.6231884057971014,0.7283531409168081,0.6370967741935484,geometry,0.4492753623188406,69,fold_0,stable_correct_vs_hallucination
0.5217391304347826,0.5382003395585738,0.5212224108658743,lexical_shape,0.4492753623188406,69,fold_0,stable_correct_vs_hallucination
0.6086956521739131,0.6926994906621392,0.6179966044142615,waveform_functional,0.4492753623188406,69,fold_0,stable_correct_vs_hallucination
0.6086956521739131,0.666383701188455,0.6417657045840408,sample0_delta,0.4492753623188406,69,fold_0,stable_correct_vs_hallucination
0.5797101449275363,0.7054329371816639,0.5857385398981324,all_noleak,0.4492753623188406,69,fold_0,stable_correct_vs_hallucination
0.6617647058823529,0.5693112467306015,0.6578029642545772,stability,0.5441176470588235,68,fold_1,stable_correct_vs_hallucination
0.6911764705882353,0.6503923278116827,0.6848299912816043,geometry,0.5441176470588235,68,fold_1,stable_correct_vs_hallucination
0.5,0.6181342632955537,0.49607672188317353,lexical_shape,0.5441176470588235,68,fold_1,stable_correct_vs_hallucination
