accuracy,auc,balanced_acc,feature_set,rows,split,task
0.776382340350849,0.8210722632960918,0.7494535486197998,all_no_leak,1085,question_grouped_cv,pure_correct_vs_wrong
0.7774673426797871,0.7842811354571075,0.7456683067164124,factual_plus_riemann,1085,question_grouped_cv,pure_correct_vs_wrong
0.6608807069897951,0.6157021317106063,0.6246450542898699,factual_proxy,1085,question_grouped_cv,pure_correct_vs_wrong
0.4022083450950083,0.46593778646084233,0.5606857822311462,factual_riemann_delta,1085,question_grouped_cv,pure_correct_vs_wrong
0.7420045693790831,0.5848650797991526,0.5797824082158579,hidden_riemann_geometry,1085,question_grouped_cv,pure_correct_vs_wrong
0.6407111607124429,0.6719468375667279,0.6229236851071347,qwen_factual,1085,question_grouped_cv,pure_correct_vs_wrong
0.5359959925867351,0.7016790037711024,0.6176379280915671,qwen_structured_factual,1085,question_grouped_cv,pure_correct_vs_wrong
0.794738565611885,0.7636235451548263,0.7544694459549893,riemann_geometry,1085,question_grouped_cv,pure_correct_vs_wrong
0.7827275386248306,0.7628802880705922,0.732740487946121,strong_verifier_controller,1085,question_grouped_cv,pure_correct_vs_wrong
0.7818232574132031,0.8276265001102987,0.7601597514683258,theory_core,1085,question_grouped_cv,pure_correct_vs_wrong
0.681512727441947,0.7277793380024502,0.6612049268427987,all_no_leak,123,question_grouped_cv,rescue_vs_damage
0.6093822886127785,0.6515288660826418,0.6169578508194069,factual_plus_riemann,123,question_grouped_cv,rescue_vs_damage
0.491136488435944,0.49205046267403246,0.46025324757876246,factual_proxy,123,question_grouped_cv,rescue_vs_damage
0.6283944343617665,0.7158459981200256,0.6709998439775328,factual_riemann_delta,123,question_grouped_cv,rescue_vs_damage
0.6635536320908372,0.5122797964388354,0.5349296743175461,hidden_riemann_geometry,123,question_grouped_cv,rescue_vs_damage
0.6036247847736051,0.6836569932736981,0.6272606210849917,qwen_factual,123,question_grouped_cv,rescue_vs_damage
