seed,question_index,question_id,question,k,method,selected_sample_index,selected_cluster_id,selected_cluster_size_in_prefix,answer_text,answer_preview,baseline_answer_preview,answer_changed_vs_sample0,strict_correct,baseline_strict_correct,delta_strict_correct_vs_sample0,any_strict_correct_in_prefix,strict_oracle_available,token_count,logprob_avg,token_mean_entropy,token_max_entropy
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,1,sample0,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,1,best_logprob,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,1,low_token_entropy,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,1,majority_logprob,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,1,majority_low_entropy,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,1,cautious_majority_logprob,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,1,oracle_strict,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,2,sample0,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,2,best_logprob,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,2,low_token_entropy,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,2,majority_logprob,0,0,1,"The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.",0.0,0.0,0.0,0.0,0.0,0.0,23,-0.3139249440842491,0.5894469233705052,5.958863735198975
