accuracy,auc,balanced_acc,feature_set,rows,split,task
0.7712878667012332,0.8234046804328459,0.7423488288244021,all_no_leak,1085,question_grouped_cv,pure_correct_vs_wrong
0.7624956376526456,0.788430406010416,0.7334932366338149,factual_plus_riemann,1085,question_grouped_cv,pure_correct_vs_wrong
0.6608807069897951,0.6157021317106063,0.6246450542898699,factual_proxy,1085,question_grouped_cv,pure_correct_vs_wrong
0.7420045693790831,0.5848650797991526,0.5797824082158579,hidden_riemann_geometry,1085,question_grouped_cv,pure_correct_vs_wrong
0.6407111607124429,0.6719468375667279,0.6229236851071347,qwen_factual,1085,question_grouped_cv,pure_correct_vs_wrong
0.794738565611885,0.7636235451548263,0.7544694459549893,riemann_geometry,1085,question_grouped_cv,pure_correct_vs_wrong
0.7818232574132031,0.8276265001102987,0.7601597514683258,theory_core,1085,question_grouped_cv,pure_correct_vs_wrong
0.7190912094560007,0.7402744936011526,0.7109333899637102,all_no_leak,123,question_grouped_cv,rescue_vs_damage
0.6132162967099446,0.6487004965752105,0.6093167082726579,factual_plus_riemann,123,question_grouped_cv,rescue_vs_damage
0.491136488435944,0.49205046267403246,0.46025324757876246,factual_proxy,123,question_grouped_cv,rescue_vs_damage
0.6635536320908372,0.5122797964388354,0.5349296743175461,hidden_riemann_geometry,123,question_grouped_cv,rescue_vs_damage
0.6036247847736051,0.6836569932736981,0.6272606210849917,qwen_factual,123,question_grouped_cv,rescue_vs_damage
0.6968613243985295,0.5978151942768648,0.5997907854286573,riemann_geometry,123,question_grouped_cv,rescue_vs_damage
0.7387722555726185,0.7658745155598703,0.7313370258650579,theory_core,123,question_grouped_cv,rescue_vs_damage
0.6785499659794583,0.6871573892787479,0.6639860811729669,all_no_leak,350,question_grouped_cv,stable_correct_vs_hallucination
0.574570318679207,0.6269751231538127,0.5678409170977693,factual_plus_riemann,350,question_grouped_cv,stable_correct_vs_hallucination
0.42605163472626595,0.4056876206315649,0.4079470307415364,factual_proxy,350,question_grouped_cv,stable_correct_vs_hallucination
0.5425374845022394,0.49799759703360624,0.5111894224275876,hidden_riemann_geometry,350,question_grouped_cv,stable_correct_vs_hallucination
0.5496106883925262,0.6006940275945146,0.5542384388199778,qwen_factual,350,question_grouped_cv,stable_correct_vs_hallucination
0.6575654766664822,0.6617397523386435,0.6476665101700965,riemann_geometry,350,question_grouped_cv,stable_correct_vs_hallucination
0.7043267090476564,0.7474855741035621,0.6852737783411817,theory_core,350,question_grouped_cv,stable_correct_vs_hallucination
0.7246376811594203,0.7835314091680815,0.7351443123938879,theory_core,69,fold_0,stable_correct_vs_hallucination
0.43478260869565216,0.534804753820034,0.4244482173174873,factual_proxy,69,fold_0,stable_correct_vs_hallucination
